Date,Close,Volume,log_return,rsi_14,macd_norm,macd_signal,dist_sma_10,dist_sma_20,dist_sma_50,dist_sma_200,bb_position,volatility_5,volatility_10,volatility_20,vol_of_vol,return_streak,day_of_week,month,return_lag_1,return_lag_2,return_lag_3,return_lag_5,target
2015-10-16,2033.1099853515625,3595430000,0.004560061373697022,0.8568666880441397,0.006647517026027659,0.0016831577951919954,0.01333865676878561,0.03369889259498748,0.024406659558474326,-0.013004943011876267,0.8593151056143203,0.008556268791038163,0.008324704885878213,0.010642653971099869,0.0022215800657548867,0.4,1.0,0.8181818181818182,0.014743551351355088,-0.0047274309119391435,-0.006848823690127077,0.0007248485605153577,1.0
2015-10-19,2033.6600341796875,3287320000,0.0002705089438730595,0.8556618977180105,0.007592114757775138,0.002864949187708624,0.011263518778958571,0.03222854663346086,0.02513742317597937,-0.012679105317807872,0.827453178177523,0.00858343542400734,0.006749061246778787,0.01062911148144556,0.001758467422642286,0.6,0.0,0.8181818181818182,0.004560061373697022,0.014743551351355088,-0.0047274309119391435,0.0012746644773328382,0.0
2015-10-20,2030.77001953125,3331500000,-0.0014221010558937615,0.812436543677925,0.008145284898128893,0.003921016329792679,0.007279435102370197,0.0284639876779192,0.024438793988731528,-0.01410656442673506,0.7819611236829387,0.007526066269679657,0.00657015383689085,0.01013686232715191,0.0015197095995961817,-0.2,0.25,0.8181818181818182,0.0002705089438730595,0.004560061373697022,0.014743551351355088,-0.006848823690127077,0.0
2015-10-21,2018.93994140625,3627790000,-0.005842448911134253,0.756720089137753,0.008059636793747906,0.0047487404225837245,0.0002650353781376969,0.02040101974111854,0.01914069905890395,-0.019888653604103742,0.7017206878467857,0.007811707733687312,0.006746455083390153,0.010255618714727603,0.0012053297276778238,-0.4,0.5,0.8181818181818182,-0.0014221010558937615,0.0002705089438730595,0.004560061373697022,-0.0047274309119391435,1.0
2015-10-22,2052.510009765625,4430850000,0.016490847012594123,0.7643889884745149,0.009039404981388806,0.005606873334344741,0.014931922832597363,0.03422448284268781,0.03643748572038183,-0.0036561361046172345,0.8305288568335605,0.008506656903461099,0.008033225758402018,0.010659263832179813,0.0011210791516121246,0.2,0.75,0.8181818181818182,-0.005842448911134253,-0.0014221010558937615,0.0002705089438730595,0.014743551351355088,1.0
2015-10-23,2075.14990234375,4108460000,0.010969953969042788,0.7471382920291314,0.01057061055636008,0.00659962077874781,0.023078452774709338,0.041857510794109834,0.04795695661052689,0.00730207236304291,0.8892461037896229,0.00928358805119524,0.00850309088367496,0.01076863964915286,0.001107732380843828,0.4,1.0,0.8181818181818182,0.016490847012594123,-0.005842448911134253,-0.0014221010558937615,0.004560061373697022,0.0
2015-10-26,2071.179931640625,3385800000,-0.0019149330011001104,0.7606234595661162,0.011596650118563933,0.007599026646711035,0.0184239343723481,0.03494339150593401,0.04616724150341632,0.005310660961441407,0.8519347815594704,0.009556021095421762,0.00863163784995009,0.008363199036924611,0.00118649449787533,-0.2,0.0,0.8181818181818182,0.010969953969042788,0.016490847012594123,-0.005842448911134253,0.0002705089438730595,0.0
2015-10-27,2065.889892578125,4216880000,-0.00255738586508774,0.7129998211180197,0.01207960278134744,0.008495141873638316,0.012725393031087185,0.027632352340259358,0.043880642190331484,0.0026514121414668427,0.8204492590952246,0.009718951004196317,0.00820422413316651,0.008490137519563786,0.0011865596486634752,-0.4,0.25,0.8181818181818182,-0.0019149330011001104,0.010969953969042788,0.016490847012594123,-0.0014221010558937615,1.0
2015-10-28,2090.35009765625,4698110000,0.011770488488143476,0.7244920571019378,0.013086617930296212,0.009413437084969896,0.019910847435372032,0.03541343650099454,0.05631035617400342,0.014357128411301743,0.9322917286194644,0.008651622794346012,0.008123292777039638,0.007993924143529306,0.0012764177317865831,0.2,0.5,0.8181818181818182,-0.00255738586508774,-0.0019149330011001104,0.010969953969042788,-0.005842448911134253,0.0
2015-10-29,2089.409912109375,4008940000,-0.00044987538066072313,0.7181490526351901,0.013807529280862868,0.010292255524148492,0.016202027383021993,0.030720661035314418,0.055730693221401964,0.013708708043965472,0.9125709796960602,0.007172793636289342,0.0074286496415772695,0.008048397694928799,0.0013629657611813036,-0.2,0.75,0.8181818181818182,0.011770488488143476,-0.00255738586508774,-0.0019149330011001104,0.016490847012594123,0.0
2015-10-30,2079.360107421875,4256200000,-0.004821481688425431,0.6736034651811196,0.013893513673235427,0.01101250715396588,0.009044462424090797,0.022534707373787096,0.05018972352959989,0.008620785978988648,0.8276930537547603,0.006545591451813619,0.007818228445722799,0.007917426833297965,0.0013883383091353072,-0.4,1.0,0.8181818181818182,-0.00044987538066072313,0.011770488488143476,-0.00255738586508774,0.010969953969042788,1.0
2015-11-02,2104.050048828125,3760020000,0.011803876338814608,0.765221997408912,0.014524997557470502,0.011715005234666804,0.017549930934929358,0.0317081167332261,0.06123206236985849,0.02038752554281341,0.9425907934498399,0.00803555023172552,0.008327954279230549,0.007398499707886178,0.0014108350805838174,0.2,0.0,0.9090909090909091,-0.004821481688425431,-0.00044987538066072313,0.011770488488143476,-0.0019149330011001104,1.0
2015-11-03,2109.7900390625,4272060000,0.0027243529250675206,0.811472054627202,0.01515822636817901,0.012403649461369246,0.01644151819150032,0.031239170911725976,0.06180738561158138,0.02295481448116296,0.9325345100275375,0.007421541093393761,0.008162622084104815,0.007241578995158897,0.0014952456331447479,0.4,0.25,0.9090909090909091,0.011803876338814608,-0.004821481688425431,-0.00044987538066072313,-0.00255738586508774,0.0
2015-11-04,2102.31005859375,4078870000,-0.003551666939647187,0.7401284594949054,0.015283929209449551,0.01297970541098531,0.0087860165996881,0.02491590291407306,0.055549280177145076,0.01915464250255197,0.8451311765474511,0.006639034825594074,0.007888962540274169,0.007296946487736705,0.0015620849245386891,-0.2,0.5,0.9090909090909091,0.0027243529250675206,0.011803876338814608,-0.004821481688425431,0.011770488488143476,0.0
